Countries,pm25
Bangladesh,83.3
Pakistan,65.8
India,58.1
Tajikistan,NA
Burkina Faso,NA
Iraq,39.6
United Arab Emirates,38.9
Nepal,44.5
Egypt,18
Democratic Republic of the Congo,32.1
Kuwait,38.3
Bahrain,46.8
Qatar,NA
Indonesia,51.7
Rwanda,NA
Zimbabwe,NA
Ghana,30.3
Kyrgyzstan,33.2
China,39.1
Libya,NA
Laos,23.1
Vietnam,34.1
Uzbekistan,41.2
Gambia,NA
Myanmar,31
Senegal,NA
Bosnia Herzegovina,34.6
Uganda,29.1
Ethiopia,20.1
Saudi Arabia,22.1
Armenia,25.5
North Macedonia,32.4
Zambia,NA
Cameroon,NA
Nigeria,21.4
Thailand,24.3
Cambodia,21.1
Malaysia,19.4
Mongolia,62
Kazakhstan,23.6
Montenegro,NA
Madagascar,NA
Serbia,23.3
Turkey,20.6
Taiwan,17.2
Mexico,20
South Africa,21.6
El Salvador,NA
Sri Lanka,25.2
South Korea,24.8
Peru,23.3
Azerbaijan,NA
Chile,22.6
Guatemala,20.2
Palestinian Territory,NA
Israel,20.8
Greece,22.5
Guyana,NA
Gabon,NA
Albania,NA
Ivory Coast,NA
Georgia,20.1
Togo,NA
Macao SAR,23.5
Moldova,NA
Nicaragua,NA
Romania,18.3
Hong Kong SAR,20.3
Maldives,NA
Honduras,NA
Italy,17.1
Slovenia,NA
Cyprus,19.7
Poland,18.7
Colombia,14.6
Guinea,NA
Croatia,19.1
Algeria,21.2
Philippines,17.6
Singapore,19
Bulgaria,25.5
Slovakia,16.1
Brazil,15.8
Bolivia,NA
Kosovo,23.5
Malta,9.4
Hungary,14.6
Uruguay,NA
Czech Republic,14.4
Kenya,NA
Suriname,NA
Lithuania,14.5
Canada,7.7
Russia,9.9
Spain,9.7
Japan,11.4
Panama,NA
Austria,12.2
France,12.3
Belgium,12.5
Argentina,14.6
USA,9
Germany,11
Switzerland,10.9
Luxembourg,9.6
Netherlands,10.9
Ukraine,16.6
Belize,NA
Latvia,13.3
Andorra,NA
Angola,15.9
United Kingdom,10.5
Denmark,9.6
Anguilla,NA
Ecuador,8.6
Liechtenstein,NA
Jamaica,NA
Portugal,9.3
Ireland,10.6
Norway,6.9
Costa Rica,10.4
Trinidad and Tobago,NA
Bahamas,3.3
Sweden,6.6
Finland,5.6
Estonia,6.2
Puerto Rico,10.2
Australia,8
New Zealand,7.5
Bermuda,NA
Grenada,NA
Iceland,5.5
Mauritius,NA
French Polynesia,NA
