Countries,crd
Bangladesh,75.5
Pakistan,93.5
India,141.4
Tajikistan,40.7
Burkina Faso,30.3
Iraq,16.4
United Arab Emirates,57.9
Nepal,180.6
Egypt,34.5
Democratic Republic of the Congo,68.4
Kuwait,6.4
Bahrain,44.8
Qatar,14.8
Indonesia,64.9
Rwanda,46.4
Zimbabwe,59
Ghana,25
Kyrgyzstan,31.1
China,77.3
Libya,30.3
Laos,75.7
Vietnam,54.5
Uzbekistan,13.9
Gambia,48
Myanmar,134.5
Senegal,40.7
Bosnia Herzegovina,19.1
Uganda,41.2
Ethiopia,34
Saudi Arabia,36.2
Armenia,17.4
North Macedonia,26
Zambia,43.9
Cameroon,40.2
Nigeria,28.9
Thailand,24
Cambodia,60.1
Malaysia,34.1
Mongolia,26.3
Kazakhstan,59.9
Montenegro,6.7
Madagascar,78.3
Serbia,22.7
Turkey,47
Taiwan,21
Mexico,33.8
South Africa,50.2
El Salvador,22.6
Sri Lanka,60.9
South Korea,17.3
Peru,27.8
Azerbaijan,21.6
Chile,28.4
Guatemala,28.4
Palestinian Territory,25
Israel,15.7
Greece,17.2
Guyana,21.4
Gabon,37.8
Albania,21.3
Ivory Coast,38.8
Georgia,13.6
Togo,44.6
Macao SAR,NA
Moldova,12.2
Nicaragua,24.4
Romania,19.5
Hong Kong SAR,NA
Maldives,45.6
Honduras,69.4
Italy,17
Slovenia,13.9
Cyprus,37.2
Poland,13.8
Colombia,33.2
Guinea,35.8
Croatia,20.4
Algeria,32.2
Philippines,48.3
Singapore,8
Bulgaria,16.8
Slovakia,11
Brazil,31.4
Bolivia,41.3
Kosovo,NA
Malta,15.7
Hungary,32.6
Uruguay,38.2
Czech Republic,19.4
Kenya,48.2
Suriname,23.4
Lithuania,9.7
Canada,25.1
Russia,14.5
Spain,29.6
Japan,11.6
Panama,20.9
Austria,18.8
France,12.6
Belgium,26.2
Argentina,33.2
USA,37.1
Germany,22
Switzerland,14.4
Luxembourg,23.5
Netherlands,30.3
Ukraine,10.6
Belize,30.7
Latvia,8.1
Andorra,24.5
Angola,42.4
United Kingdom,35.9
Denmark,39.8
Anguilla,NA
Ecuador,29
Liechtenstein,NA
Jamaica,19.1
Portugal,22.2
Ireland,33.4
Norway,28.7
Costa Rica,25.7
Trinidad and Tobago,16.9
Bahamas,16.3
Sweden,18.3
Finland,14.3
Estonia,7.1
Puerto Rico,22.5
Australia,24.2
New Zealand,28.3
Bermuda,13.7
Grenada,19.4
Iceland,21.1
Mauritius,33.9
French Polynesia,NA
